path_img,IMAGE\LABEL,airplane,bare-soil,buildings,cars,chaparral,court,dock,field,grass,mobile-home,pavement,sand,sea,ship,tanks,trees,water
UCMerced_LandUse/Images/agricultural/agricultural01.tif,agricultural01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
UCMerced_LandUse/Images/agricultural/agricultural06.tif,agricultural06,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0
UCMerced_LandUse/Images/agricultural/agricultural10.tif,agricultural10,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural14.tif,agricultural14,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
UCMerced_LandUse/Images/agricultural/agricultural18.tif,agricultural18,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
UCMerced_LandUse/Images/agricultural/agricultural21.tif,agricultural21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
UCMerced_LandUse/Images/agricultural/agricultural23.tif,agricultural23,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural24.tif,agricultural24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural26.tif,agricultural26,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
UCMerced_LandUse/Images/agricultural/agricultural28.tif,agricultural28,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
UCMerced_LandUse/Images/agricultural/agricultural30.tif,agricultural30,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0
UCMerced_LandUse/Images/agricultural/agricultural31.tif,agricultural31,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural32.tif,agricultural32,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
UCMerced_LandUse/Images/agricultural/agricultural33.tif,agricultural33,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural34.tif,agricultural34,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural35.tif,agricultural35,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural36.tif,agricultural36,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1
UCMerced_LandUse/Images/agricultural/agricultural37.tif,agricultural37,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
UCMerced_LandUse/Images/agricultural/agricultural38.tif,agricultural38,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural39.tif,agricultural39,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
UCMerced_LandUse/Images/agricultural/agricultural40.tif,agricultural40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
UCMerced_LandUse/Images/agricultural/agricultural41.tif,agricultural41,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
UCMerced_LandUse/Images/agricultural/agricultural42.tif,agricultural42,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
UCMerced_LandUse/Images/agricultural/agricultural43.tif,agricultural43,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0
UCMerced_LandUse/Images/agricultural/agricultural44.tif,agricultural44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
UCMerced_LandUse/Images/agricultural/agricultural45.tif,agricultural45,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0
UCMerced_LandUse/Images/agricultural/agricultural46.tif,agricultural46,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1
UCMerced_LandUse/Images/agricultural/agricultural47.tif,agricultural47,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
UCMerced_LandUse/Images/agricultural/agricultural48.tif,agricultural48,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
UCMerced_LandUse/Images/agricultural/agricultural49.tif,agricultural49,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
UCMerced_LandUse/Images/agricultural/agricultural50.tif,agricultural50,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1
UCMerced_LandUse/Images/agricultural/agricultural51.tif,agricultural51,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1
UCMerced_LandUse/Images/agricultural/agricultural52.tif,agricultural52,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural53.tif,agricultural53,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural54.tif,agricultural54,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0
UCMerced_LandUse/Images/agricultural/agricultural55.tif,agricultural55,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural56.tif,agricultural56,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
UCMerced_LandUse/Images/agricultural/agricultural57.tif,agricultural57,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1
UCMerced_LandUse/Images/agricultural/agricultural58.tif,agricultural58,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
UCMerced_LandUse/Images/agricultural/agricultural59.tif,agricultural59,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0
UCMerced_LandUse/Images/agricultural/agricultural60.tif,agricultural60,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
UCMerced_LandUse/Images/agricultural/agricultural62.tif,agricultural62,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0
UCMerced_LandUse/Images/agricultural/agricultural63.tif,agricultural63,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
